epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0635,1.44426,3.03273,1.16325,0.00545,0.97479,0.51796,0.23865,1.13042,3.2426,1.00665,0.00034,0.00034,0.00034
2,193.443,1.34017,1.88482,1.15889,0.00535,0.95798,0.03148,0.02035,1.10512,3.27119,1.03819,0.0006307,0.0006307,0.0006307
3,282.792,1.33016,1.7728,1.12505,0.77974,0.46218,0.58058,0.36204,1.26837,2.9599,1.09903,0.00085012,0.00085012,0.00085012
4,488.165,1.24961,1.58729,1.14684,0.97277,0.60039,0.86481,0.52991,1.31586,2.2516,1.12982,0.00099826,0.00099826,0.00099826
5,578.785,1.25193,1.44306,1.1469,0.93677,0.87151,0.9284,0.55002,1.24256,1.71586,1.10099,0.00107512,0.00107512,0.00107512
6,667.805,1.23247,1.29154,1.12414,0.95038,0.90756,0.94501,0.55953,1.28381,1.40108,1.1424,0.00101,0.00101,0.00101
7,760.157,1.22368,1.25353,1.11578,0.97184,0.90756,0.95562,0.60616,1.2357,1.21408,1.09805,0.000812,0.000812,0.000812
8,852.991,1.18158,1.13216,1.07351,0.97879,0.93277,0.96436,0.60402,1.22256,1.04258,1.07776,0.000614,0.000614,0.000614
9,950.705,1.17429,1.08967,1.07719,0.96824,0.93277,0.97334,0.59077,1.24546,0.95857,1.09588,0.000416,0.000416,0.000416
10,1046.21,1.13534,1.03523,1.05934,0.98858,0.93277,0.97194,0.62332,1.13312,0.86261,1.0549,0.000218,0.000218,0.000218
